GEO_ID,Bachelor,Poverty,OldHousing,Black,SimpsonsDI,VacantHousing,OwnerOccupied,FamiliesWithChildren,Pct5Plus
42101020900,52.9,12.3,64.0,3.2,0.21360400000000002,15.3,51.0,19.1,8.8
42101021300,40.8,10.7,72.3,4.1,0.18912799999999988,12.5,64.8,16.5,6.0
42101022000,54.0,2.9,13.899999999999999,16.1,0.43484200000000006,11.1,55.9,18.9,0.0
42101023100,86.4,0.6,87.6,0.0,0.12354799999999996,4.9,53.7,28.5,0.0
42101023600,64.0,11.4,74.2,27.5,0.489118,0.0,65.6,27.9,7.8
42101023700,54.0,10.0,69.4,59.5,0.570668,9.3,42.4,23.6,9.7
42101023800,37.5,16.8,77.2,67.1,0.4908559999999999,20.4,40.2,23.2,13.1
42101024000,41.5,30.3,47.7,57.3,0.5829690000000001,24.7,30.0,17.8,7.6
42101024200,17.5,28.3,74.7,81.2,0.342797,22.1,42.3,22.1,12.6
42101024300,19.7,36.5,53.4,85.7,0.26265100000000013,15.0,38.5,22.9,8.6
42101024400,12.7,29.7,89.9,93.5,0.12395499999999995,23.5,55.0,15.8,11.3
42101024500,11.5,31.4,67.2,92.2,0.19081800000000002,24.0,46.0,24.4,12.9
42101024600,16.1,38.9,57.2,86.1,0.253168,23.3,31.6,23.6,11.1
42101024700,13.8,48.5,65.1,88.3,0.22524199999999994,23.5,45.4,23.4,12.7
42101024800,12.1,20.3,81.1,93.0,0.14436999999999992,9.1,70.9,23.3,6.3
42101024900,6.5,36.4,77.3,96.6,0.06627200000000003,30.2,63.7,20.7,5.7
42101025200,10.5,32.2,70.6,91.4,0.16553800000000016,18.4,46.4,25.3,10.6
42101025300,24.1,30.1,65.2,86.4,0.24803399999999995,23.7,57.4,23.8,9.3
42101025500,39.4,7.7,66.6,65.9,0.5891149999999999,5.5,74.4,19.3,6.8
42101025800,29.0,4.9,17.6,97.9,0.06348500000000011,12.2,67.7,17.4,0.0
42101026301,17.2,17.0,43.4,97.2,0.05477400000000003,3.0,73.5,20.8,3.6
42101026302,13.9,18.4,56.400000000000006,92.6,0.18096799999999988,12.3,82.6,21.3,5.3
42101026400,16.9,14.1,60.8,95.9,0.11642100000000011,12.1,79.0,27.5,3.4
42101026500,9.7,20.7,69.9,96.7,0.0798519999999999,13.5,74.5,24.5,9.7
42101026600,12.6,20.6,48.4,97.0,0.07385399999999989,15.3,78.0,21.3,3.8
42101026700,18.8,21.1,75.6,97.4,0.07951399999999992,13.0,71.5,30.3,8.3
42101026800,27.0,18.6,57.5,86.1,0.26591999999999993,8.6,35.3,19.9,7.2
42101027200,19.9,15.3,27.6,81.7,0.34254100000000004,4.6,56.5,24.9,4.1
42101027300,17.0,13.2,50.2,54.4,0.6186929999999999,5.8,63.7,31.3,5.2
42101027401,13.3,26.1,60.0,51.9,0.633383,14.4,65.9,25.4,5.9
42101027402,13.5,15.5,62.300000000000004,52.3,0.683491,12.0,70.9,51.6,7.4
42101027500,11.9,25.2,69.0,66.3,0.600124,7.5,67.2,33.4,8.9
42101027600,14.4,28.3,50.5,93.3,0.12760700000000005,13.7,48.0,25.7,7.4
42101027700,11.2,29.4,62.8,91.8,0.17570499999999992,11.9,48.0,19.4,8.3
42101027800,10.8,30.1,75.3,92.4,0.15814400000000017,12.9,45.6,18.2,7.4
42101027901,9.1,45.6,71.5,81.2,0.36407100000000003,18.8,66.0,27.6,8.1
42101028000,5.9,35.9,71.4,98.1,0.09722499999999984,12.2,51.1,27.0,9.4
