GEO_ID,Poverty,Bachelor,White,White-NH,Black,Black-NH,Asian,Asian-NH,AmericanIndian,AmericanIndian-NH,NHPI,NHPI-NH,Other,Other-NH,Multi,Multi-NH,Pre-1939 Housing,1939-1949 Housing,VacantHousing,OwnerOccupied,FamiliesWithChildren,White-H,Black-H,Asian-H,AmericanIndian-H,NHPI-H,Other-H,Multi-H,SimpsonsDI,OldHousing
42101020600,27.6,61.0,50.6,46.9,35.1,34.7,7.8,7.8,0.6,0.6,0.0,0.0,3.0,2.2,3.0,2.3,33.5,5.5,12.9,25.7,11.6,3.700000000000003,0.3999999999999986,0.0,0.0,0.0,0.7999999999999998,0.7000000000000002,0.651999,39.0
42101020700,8.2,53.6,79.3,76.3,12.9,12.9,4.7,4.7,0.0,0.0,0.1,0.1,1.8,0.0,1.2,1.2,61.3,12.8,12.5,60.5,18.3,3.0,0.0,0.0,0.0,0.0,1.8,0.0,0.397612,74.1
42101020800,23.1,55.5,50.8,50.1,32.7,32.4,13.1,12.7,0.0,0.0,0.0,0.0,1.8,0.0,1.6,1.6,26.5,12.7,17.4,28.3,10.5,0.6999999999999957,0.30000000000000426,0.40000000000000036,0.0,0.0,1.8,0.0,0.62724,39.2
42101020900,12.3,52.9,91.4,88.5,3.2,2.8,3.3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,57.0,7.0,15.3,51.0,19.1,2.9000000000000057,0.40000000000000036,0.0,0.0,0.0,0.0,0.0,0.21360400000000002,64.0
42101021000,22.6,52.2,91.4,90.2,5.7,5.7,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.8,65.5,4.1,11.6,64.3,16.2,1.2000000000000028,0.0,0.0,0.0,0.0,0.0,0.8999999999999999,0.18271400000000002,69.6
42101021100,10.1,49.0,83.8,81.3,6.7,6.3,5.1,5.1,0.0,0.0,0.0,0.0,0.4,0.4,4.0,4.0,32.7,11.7,7.5,57.2,20.7,2.5,0.40000000000000036,0.0,0.0,0.0,0.0,0.0,0.330204,44.400000000000006
42101021200,13.4,35.1,79.6,77.1,7.3,6.9,5.7,5.7,0.0,0.0,0.0,0.0,5.0,0.5,2.4,2.4,42.2,10.2,4.5,65.8,26.4,2.5,0.39999999999999947,0.0,0.0,0.0,4.5,0.0,0.394282,52.400000000000006
42101021300,10.7,40.8,92.1,89.9,4.1,4.1,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.9,65.1,7.2,12.5,64.8,16.5,2.1999999999999886,0.0,0.0,0.0,0.0,0.0,1.3000000000000003,0.18912799999999988,72.3
42101021400,22.3,53.3,86.9,82.9,12.6,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,67.6,10.4,18.0,43.4,7.4,4.0,0.7999999999999989,0.0,0.0,0.0,0.0,0.3,0.2971579999999999,78.0
42101021500,13.9,55.0,89.2,86.4,2.1,2.1,5.9,5.9,0.0,0.0,0.0,0.0,0.5,0.0,2.2,2.2,40.6,6.0,10.8,58.2,17.4,2.799999999999997,0.0,0.0,0.0,0.0,0.5,0.0,0.2472889999999999,46.6
42101021600,20.4,48.2,87.9,85.7,4.8,4.8,3.3,3.3,0.0,0.0,0.0,0.0,1.3,0.0,2.7,2.7,7.5,4.5,7.1,44.3,22.4,2.200000000000003,0.0,0.0,0.0,0.0,1.3,0.0,0.26077600000000006,12.0
42101021700,5.6,32.8,85.1,84.0,10.5,10.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,6.7,11.0,4.6,78.1,24.0,1.0999999999999943,0.0,0.0,0.0,0.0,0.0,0.0,0.28226799999999996,17.7
42101021800,22.9,61.2,69.6,68.2,14.5,14.5,6.9,6.9,0.0,0.0,0.5,0.0,6.7,5.6,1.8,0.5,3.6,7.0,9.5,27.4,17.6,1.3999999999999915,0.0,0.0,0.0,0.5,1.1000000000000005,1.3,0.5054179999999998,10.6
42101021900,8.7,41.0,84.1,83.9,10.5,10.1,2.6,2.6,0.8,0.8,0.0,0.0,1.1,1.1,1.0,1.0,24.4,7.6,0.4,74.4,11.7,0.19999999999998863,0.40000000000000036,0.0,0.0,0.0,0.0,0.0,0.2858969999999999,32.0
42101022000,2.9,54.0,74.9,73.2,16.1,16.0,3.8,3.8,0.0,0.0,0.0,0.0,4.4,0.0,0.8,0.8,7.6,6.3,11.1,55.9,18.9,1.7000000000000028,0.10000000000000142,0.0,0.0,0.0,4.4,0.0,0.43484200000000006,13.899999999999999
42101023100,0.6,86.4,98.0,93.5,0.0,0.0,1.1,1.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.8,1.8,4.9,53.7,28.5,4.5,0.0,0.0,0.9,0.0,0.0,0.0,0.12354799999999996,87.6
42101023500,8.5,69.6,50.2,50.2,30.5,30.5,10.7,10.7,0.0,0.0,0.0,0.0,0.7,0.7,7.8,7.8,44.7,9.3,5.5,60.6,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6363890000000001,54.0
42101023600,11.4,64.0,67.0,65.9,27.5,27.5,1.0,1.0,0.4,0.0,0.0,0.0,3.8,2.1,0.3,0.3,61.9,12.3,0.0,65.6,27.9,1.0999999999999943,0.0,0.0,0.4,0.0,1.6999999999999997,0.0,0.489118,74.2
42101023700,10.0,54.0,27.7,25.9,59.5,59.5,2.6,2.6,0.0,0.0,0.0,0.0,1.1,0.0,9.1,8.4,49.8,19.6,9.3,42.4,23.6,1.8000000000000007,0.0,0.0,0.0,0.0,1.1,0.6999999999999993,0.570668,69.4
42101023800,16.8,37.5,26.1,23.7,67.1,67.0,1.7,1.7,0.2,0.2,0.0,0.0,0.4,0.0,4.3,3.3,50.9,26.3,20.4,40.2,23.2,2.400000000000002,0.09999999999999432,0.0,0.0,0.0,0.4,1.0,0.4908559999999999,77.2
42101023900,18.7,37.9,27.1,23.7,64.2,60.7,1.3,1.3,0.0,0.0,0.0,0.0,3.5,2.9,3.9,3.9,26.4,14.1,29.2,14.6,10.4,3.400000000000002,3.5,0.0,0.0,0.0,0.6000000000000001,0.0,0.5704340000000001,40.5
42101024000,30.3,41.5,30.6,29.4,57.3,57.0,3.9,3.9,0.0,0.0,0.0,0.0,3.8,0.4,4.3,4.3,32.9,14.8,24.7,30.0,17.8,1.2000000000000028,0.29999999999999716,0.0,0.0,0.0,3.4,0.0,0.5829690000000001,47.7
